EmployeeNumber;EnvironmentSatisfaction;JobInvolvement;JobSatisfaction;RelationshipSatisfaction;WorkLifeBalance;Datasurvey
298;2;3;3;3;3;04/02/2026
302;2;4;3;3;4;04/02/2026
303;2;3;1;3;4;04/02/2026
304;2;3;2;4;4;04/02/2026
305;2;4;2;3;4;04/02/2026
306;2;3;3;3;3;04/02/2026
307;1;3;3;2;3;04/02/2026
308;2;4;3;3;4;04/02/2026
309;2;4;3;3;1;04/02/2026
311;1;3;3;3;3;04/02/2026
312;2;3;3;3;4;04/02/2026
314;2;3;3;4;1;04/02/2026
316;2;4;3;2;2;04/02/2026
319;2;3;3;3;4;04/02/2026
321;2;3;3;2;4;04/02/2026
323;2;3;3;2;3;04/02/2026
327;2;3;3;3;3;04/02/2026
329;1;4;3;4;4;04/02/2026
330;2;3;2;3;1;04/02/2026
332;2;3;3;3;3;04/02/2026
333;2;3;3;3;1;04/02/2026
334;2;3;1;2;1;04/02/2026
335;1;3;3;3;1;04/02/2026
336;2;4;3;3;3;04/02/2026
337;2;3;3;3;1;04/02/2026
338;2;4;3;2;3;04/02/2026
339;2;4;1;3;2;04/02/2026
340;2;4;1;2;1;04/02/2026
341;1;4;3;3;4;04/02/2026
343;2;3;3;3;4;04/02/2026
346;2;3;3;3;1;04/02/2026
347;2;4;1;3;3;04/02/2026
349;2;3;3;3;4;04/02/2026
350;1;3;3;3;4;04/02/2026
351;2;4;1;3;3;04/02/2026
352;1;3;3;3;4;04/02/2026
353;2;3;3;2;2;04/02/2026
359;2;4;2;1;3;04/02/2026
361;2;4;3;3;4;04/02/2026
362;2;4;1;3;4;04/02/2026
363;2;4;2;2;2;04/02/2026
366;1;4;2;3;2;04/02/2026
367;2;4;3;3;2;04/02/2026
369;2;4;1;3;4;04/02/2026
372;2;3;3;3;2;04/02/2026
373;2;3;3;3;3;04/02/2026
374;2;3;1;3;3;04/02/2026
377;2;3;3;2;4;04/02/2026
378;2;3;3;4;2;04/02/2026
379;2;4;3;4;1;04/02/2026
380;1;3;3;3;1;04/02/2026
381;2;4;2;2;2;04/02/2026
382;1;4;1;3;3;04/02/2026
384;2;3;2;1;1;04/02/2026
385;1;3;2;2;1;04/02/2026
386;2;3;3;2;4;04/02/2026
387;2;3;3;3;3;04/02/2026
388;2;3;3;2;1;04/02/2026
389;2;3;3;3;4;04/02/2026
390;1;3;1;3;3;04/02/2026
391;2;3;3;3;2;04/02/2026
393;2;3;3;3;2;04/02/2026
395;2;3;3;3;4;04/02/2026
396;2;3;1;3;4;04/02/2026
397;2;3;2;3;4;04/02/2026
399;2;3;2;2;3;04/02/2026
403;2;3;3;2;3;04/02/2026
404;2;3;2;4;4;04/02/2026
406;2;3;2;2;3;04/02/2026
407;2;4;3;3;4;04/02/2026
408;2;4;2;3;4;04/02/2026
410;2;3;2;3;2;04/02/2026
411;2;4;3;3;1;04/02/2026
412;2;4;1;3;3;04/02/2026
416;2;4;3;2;2;04/02/2026
417;2;4;3;2;1;04/02/2026
419;2;3;2;3;3;04/02/2026
420;2;4;3;2;3;04/02/2026
421;1;4;2;3;3;04/02/2026
422;2;4;3;3;4;04/02/2026
423;2;3;3;3;3;04/02/2026
424;1;4;1;3;4;04/02/2026
425;1;3;1;3;1;04/02/2026
426;2;3;3;1;2;04/02/2026
428;2;3;2;3;2;04/02/2026
429;2;3;1;3;4;04/02/2026
430;2;3;3;3;1;04/02/2026
431;2;4;3;3;4;04/02/2026
434;2;3;2;2;2;04/02/2026
436;2;4;2;3;4;04/02/2026
437;2;3;3;3;1;04/02/2026
438;2;3;3;3;4;04/02/2026
439;1;4;3;2;3;04/02/2026
441;2;3;3;3;4;04/02/2026
442;2;4;3;3;1;04/02/2026
444;2;4;3;3;1;04/02/2026
446;2;4;3;2;3;04/02/2026
447;2;3;3;3;2;04/02/2026
448;2;4;3;4;2;04/02/2026
449;2;3;2;3;4;04/02/2026
450;2;3;3;2;4;04/02/2026
451;2;3;1;2;1;04/02/2026
452;2;3;3;3;1;04/02/2026
453;2;4;3;2;3;04/02/2026
455;2;4;3;3;3;04/02/2026
456;2;4;3;3;3;04/02/2026
458;2;3;2;3;1;04/02/2026
460;2;3;3;2;3;04/02/2026
461;2;4;3;3;2;04/02/2026
462;2;3;3;2;3;04/02/2026
463;2;4;2;3;1;04/02/2026
464;2;3;2;3;4;04/02/2026
465;2;3;3;2;3;04/02/2026
466;2;4;2;3;4;04/02/2026
467;2;3;3;3;1;04/02/2026
468;1;3;3;3;2;04/02/2026
469;2;3;3;2;1;04/02/2026
470;2;3;3;3;3;04/02/2026
471;2;3;2;3;3;04/02/2026
473;1;3;3;1;2;04/02/2026
474;2;4;1;3;1;04/02/2026
475;2;3;3;4;2;04/02/2026
476;2;3;3;3;2;04/02/2026
477;1;4;3;3;2;04/02/2026
479;2;3;3;3;2;04/02/2026
481;1;4;3;3;1;04/02/2026
482;2;3;3;3;3;04/02/2026
483;2;4;3;3;3;04/02/2026
484;1;3;3;2;3;04/02/2026
486;2;3;1;3;2;04/02/2026
487;2;3;3;4;3;04/02/2026
491;2;4;3;3;4;04/02/2026
493;2;4;2;3;4;04/02/2026
495;2;3;3;3;4;04/02/2026
496;2;4;2;3;3;04/02/2026
497;2;3;2;3;2;04/02/2026
498;2;3;3;3;4;04/02/2026
499;2;4;3;3;3;04/02/2026
500;2;3;3;2;3;04/02/2026
501;2;3;3;3;2;04/02/2026
505;2;3;3;3;3;04/02/2026
507;2;3;3;4;4;04/02/2026
508;2;3;2;3;1;04/02/2026
511;1;3;2;3;4;04/02/2026
513;2;4;3;3;2;04/02/2026
515;2;3;1;2;3;04/02/2026
516;2;3;2;3;3;04/02/2026
517;2;3;1;3;2;04/02/2026
518;2;3;2;2;4;04/02/2026
520;1;4;2;3;3;04/02/2026
521;2;4;3;3;2;04/02/2026
522;1;3;1;2;3;04/02/2026
523;2;3;3;3;1;04/02/2026
524;2;3;1;1;2;04/02/2026
525;2;3;3;3;1;04/02/2026
526;2;3;3;3;4;04/02/2026
527;2;4;3;3;2;04/02/2026
529;2;3;3;3;1;04/02/2026
530;2;4;1;3;3;04/02/2026
531;2;3;3;3;3;04/02/2026
532;2;4;1;2;4;04/02/2026
533;2;3;3;3;2;04/02/2026
534;2;4;1;3;3;04/02/2026
536;2;3;1;3;4;04/02/2026
543;2;4;3;3;3;04/02/2026
544;1;3;3;2;4;04/02/2026
546;2;3;3;1;4;04/02/2026
547;1;3;3;3;2;04/02/2026
548;2;4;3;3;3;04/02/2026
549;1;3;1;1;4;04/02/2026
550;2;3;3;2;3;04/02/2026
551;2;4;3;4;4;04/02/2026
556;2;3;3;3;3;04/02/2026
558;2;3;3;3;4;04/02/2026
560;1;3;3;1;2;04/02/2026
562;2;3;3;1;3;04/02/2026
564;2;4;3;3;3;04/02/2026
567;2;3;1;3;3;04/02/2026
568;1;4;3;2;3;04/02/2026
569;2;4;3;3;2;04/02/2026
571;2;3;3;2;3;04/02/2026
573;2;4;1;4;4;04/02/2026
574;1;3;3;3;3;04/02/2026
575;1;3;3;1;3;04/02/2026
577;2;4;3;3;3;04/02/2026
578;2;3;3;3;3;04/02/2026
579;2;4;3;3;3;04/02/2026
580;2;4;3;3;3;04/02/2026
581;2;3;2;4;4;04/02/2026
585;2;3;2;3;1;04/02/2026
586;2;3;3;3;3;04/02/2026
591;2;3;3;3;4;04/02/2026
592;2;3;3;2;4;04/02/2026
595;2;3;3;3;1;04/02/2026
597;1;3;2;3;4;04/02/2026
599;2;3;3;3;4;04/02/2026
600;2;3;3;3;3;04/02/2026
601;2;3;3;3;3;04/02/2026
602;2;3;3;3;1;04/02/2026
604;2;3;3;4;3;04/02/2026
605;2;3;1;2;4;04/02/2026
606;2;3;2;4;2;04/02/2026
611;2;3;3;4;2;04/02/2026
612;1;4;3;3;3;04/02/2026
613;2;4;3;2;3;04/02/2026
615;2;4;1;3;3;04/02/2026
616;1;4;3;3;1;04/02/2026
618;1;3;3;3;1;04/02/2026
620;1;3;3;3;4;04/02/2026
621;2;4;3;3;4;04/02/2026
623;2;3;3;4;4;04/02/2026
624;1;3;3;2;4;04/02/2026
625;2;3;1;3;2;04/02/2026
626;1;3;2;3;4;04/02/2026
630;2;3;1;3;2;04/02/2026
632;2;3;3;3;3;04/02/2026
634;2;3;3;3;3;04/02/2026
635;2;3;2;2;2;04/02/2026
638;2;4;3;3;3;04/02/2026
639;2;4;3;3;2;04/02/2026
641;1;3;2;4;4;04/02/2026
643;2;4;2;3;4;04/02/2026
644;1;3;2;3;3;04/02/2026
645;2;3;3;3;3;04/02/2026
649;2;4;3;3;4;04/02/2026
652;1;4;3;3;4;04/02/2026
653;1;4;3;4;4;04/02/2026
655;1;4;3;2;3;04/02/2026
656;2;3;3;2;3;04/02/2026
657;2;4;2;4;4;04/02/2026
659;2;3;3;3;2;04/02/2026
661;2;4;3;2;3;04/02/2026
662;2;3;1;2;4;04/02/2026
663;2;3;3;3;2;04/02/2026
664;2;4;1;1;1;04/02/2026
665;1;4;3;4;2;04/02/2026
666;2;3;3;3;4;04/02/2026
669;2;3;3;3;3;04/02/2026
671;2;3;3;4;1;04/02/2026
675;1;3;3;3;4;04/02/2026
677;2;3;3;3;4;04/02/2026
679;1;3;3;2;4;04/02/2026
680;2;3;3;3;3;04/02/2026
682;2;3;1;4;4;04/02/2026
683;2;3;3;2;4;04/02/2026
686;2;3;3;3;3;04/02/2026
689;2;3;3;3;3;04/02/2026
690;2;3;3;2;1;04/02/2026
691;2;4;3;3;2;04/02/2026
692;2;3;3;1;3;04/02/2026
698;2;3;2;4;3;04/02/2026
699;2;4;2;3;3;04/02/2026
700;1;4;3;3;4;04/02/2026
704;2;4;3;3;3;04/02/2026
705;1;4;1;4;1;04/02/2026
707;2;4;2;3;3;04/02/2026
709;2;4;3;3;1;04/02/2026
710;2;4;3;3;4;04/02/2026
712;2;4;2;3;4;04/02/2026
714;2;4;3;3;2;04/02/2026
715;2;4;3;3;1;04/02/2026
716;2;4;3;3;3;04/02/2026
717;2;4;2;4;2;04/02/2026
721;2;4;3;3;1;04/02/2026
722;2;3;3;2;4;04/02/2026
724;2;4;3;2;3;04/02/2026
725;2;3;1;3;4;04/02/2026
727;2;3;3;3;4;04/02/2026
728;2;3;1;3;4;04/02/2026
729;2;4;1;3;3;04/02/2026
730;2;4;3;3;3;04/02/2026
731;2;4;3;2;2;04/02/2026
732;1;3;1;3;4;04/02/2026
733;2;3;1;2;3;04/02/2026
734;2;4;3;3;2;04/02/2026
738;2;3;2;3;4;04/02/2026
742;1;4;1;3;1;04/02/2026
743;2;3;3;4;4;04/02/2026
744;1;4;3;3;3;04/02/2026
746;2;3;3;2;4;04/02/2026
747;2;3;3;2;4;04/02/2026
749;2;3;3;3;3;04/02/2026
754;2;4;3;3;3;04/02/2026
757;2;3;3;3;4;04/02/2026
758;2;3;1;4;4;04/02/2026
760;2;4;2;1;3;04/02/2026
762;2;3;3;2;3;04/02/2026
763;2;4;3;2;4;04/02/2026
764;2;4;1;1;1;04/02/2026
766;2;3;2;3;4;04/02/2026
769;2;3;3;3;4;04/02/2026
771;2;3;1;4;1;04/02/2026
772;1;3;3;3;4;04/02/2026
773;2;3;3;1;2;04/02/2026
775;2;3;1;3;3;04/02/2026
776;2;4;1;4;1;04/02/2026
781;2;3;3;2;2;04/02/2026
783;2;4;3;3;1;04/02/2026
784;1;4;3;3;4;04/02/2026
786;2;3;3;3;3;04/02/2026
789;1;4;1;3;2;04/02/2026
791;2;3;3;3;1;04/02/2026
792;1;4;3;3;1;04/02/2026
793;2;3;3;2;1;04/02/2026
797;2;4;3;3;3;04/02/2026
799;2;3;1;3;2;04/02/2026
800;2;3;3;3;2;04/02/2026
802;2;3;1;2;2;04/02/2026
803;1;4;1;3;4;04/02/2026
804;2;4;1;3;3;04/02/2026
805;1;3;3;2;2;04/02/2026
806;2;4;3;3;3;04/02/2026
807;2;4;2;3;4;04/02/2026
808;2;3;1;3;2;04/02/2026
809;2;3;3;2;2;04/02/2026
812;2;4;2;3;3;04/02/2026
813;2;3;3;3;2;04/02/2026
815;2;3;3;3;4;04/02/2026
817;2;3;3;4;4;04/02/2026
820;2;3;3;2;3;04/02/2026
823;2;3;2;3;1;04/02/2026
824;2;4;3;3;3;04/02/2026
826;2;4;3;3;3;04/02/2026
827;2;4;3;3;4;04/02/2026
829;2;3;2;3;2;04/02/2026
830;2;4;3;3;3;04/02/2026
832;1;4;3;3;4;04/02/2026
833;2;4;3;2;2;04/02/2026
834;2;4;3;3;4;04/02/2026
836;2;3;2;2;4;04/02/2026
837;1;4;1;2;3;04/02/2026
838;2;4;3;3;3;04/02/2026
843;2;3;1;3;3;04/02/2026
844;2;4;3;3;2;04/02/2026
845;2;3;3;4;2;04/02/2026
846;2;3;2;3;1;04/02/2026
847;2;3;3;1;3;04/02/2026
850;2;3;3;2;3;04/02/2026
851;1;3;3;2;3;04/02/2026
852;2;3;2;2;4;04/02/2026
854;1;4;1;2;3;04/02/2026
855;1;4;1;3;1;04/02/2026
856;2;4;1;2;4;04/02/2026
857;2;3;3;2;4;04/02/2026
859;2;3;3;2;3;04/02/2026
861;2;4;3;2;2;04/02/2026
862;1;4;3;3;4;04/02/2026
864;2;3;1;3;3;04/02/2026
865;2;4;3;2;3;04/02/2026
867;2;4;3;3;3;04/02/2026
868;2;4;3;3;4;04/02/2026
869;2;4;3;3;4;04/02/2026
872;2;4;3;1;1;04/02/2026
874;1;4;3;2;3;04/02/2026
875;2;3;3;3;4;04/02/2026
878;1;4;1;3;3;04/02/2026
879;2;3;1;3;4;04/02/2026
880;2;4;3;3;2;04/02/2026
882;2;3;3;3;2;04/02/2026
885;2;4;1;4;1;04/02/2026
887;2;3;1;3;2;04/02/2026
888;1;4;3;2;4;04/02/2026
889;2;3;2;3;4;04/02/2026
893;2;4;2;3;4;04/02/2026
894;2;4;3;2;2;04/02/2026
895;2;3;3;3;2;04/02/2026
897;1;3;3;3;3;04/02/2026
899;2;4;2;3;1;04/02/2026
900;2;3;3;3;2;04/02/2026
901;2;3;3;3;3;04/02/2026
902;2;3;3;2;2;04/02/2026
903;2;3;3;3;1;04/02/2026
904;1;3;2;3;4;04/02/2026
905;1;3;1;3;4;04/02/2026
909;2;4;3;3;3;04/02/2026
910;2;3;2;4;3;04/02/2026
912;1;4;3;3;3;04/02/2026
913;2;3;1;3;4;04/02/2026
916;1;3;3;3;2;04/02/2026
920;1;3;2;4;3;04/02/2026
924;2;3;3;2;1;04/02/2026
925;2;4;3;2;1;04/02/2026
930;2;3;3;3;2;04/02/2026
933;2;3;3;3;3;04/02/2026
934;2;3;2;3;2;04/02/2026
936;2;4;3;3;1;04/02/2026
939;2;4;1;3;2;04/02/2026
940;2;4;2;3;4;04/02/2026
941;2;4;3;4;2;04/02/2026
942;2;3;3;1;4;04/02/2026
944;1;3;2;2;3;04/02/2026
945;2;3;3;2;1;04/02/2026
947;2;3;3;2;4;04/02/2026
949;2;3;3;3;3;04/02/2026
950;2;3;1;3;2;04/02/2026
951;2;4;2;3;3;04/02/2026
954;1;4;2;2;2;04/02/2026
956;2;4;1;3;2;04/02/2026
957;2;3;1;3;3;04/02/2026
958;2;3;3;3;3;04/02/2026
961;2;3;3;1;3;04/02/2026
964;2;3;2;3;4;04/02/2026
966;2;3;1;4;3;04/02/2026
969;2;4;3;3;1;04/02/2026
972;2;3;2;2;2;04/02/2026
974;2;3;3;3;2;04/02/2026
975;2;3;3;3;2;04/02/2026
976;2;3;3;2;2;04/02/2026
981;2;3;3;4;3;04/02/2026
982;2;3;3;4;1;04/02/2026
983;2;3;3;3;2;04/02/2026
984;2;3;3;3;2;04/02/2026
985;1;4;3;3;4;04/02/2026
987;2;4;3;4;3;04/02/2026
990;1;3;3;3;4;04/02/2026
992;2;3;3;3;4;04/02/2026
995;2;3;3;3;1;04/02/2026
996;2;3;3;3;4;04/02/2026
997;2;3;3;2;3;04/02/2026
998;2;4;2;3;1;04/02/2026
999;1;3;3;4;2;04/02/2026
1001;2;3;2;3;2;04/02/2026
1002;2;3;1;3;3;04/02/2026
1003;2;3;3;3;3;04/02/2026
1005;2;3;3;3;4;04/02/2026
1006;2;3;3;2;2;04/02/2026
1007;2;3;3;3;2;04/02/2026
1009;2;4;3;3;2;04/02/2026
1011;2;3;1;3;3;04/02/2026
1012;2;3;3;3;4;04/02/2026
1013;2;3;3;3;3;04/02/2026
1014;2;3;3;2;3;04/02/2026
1015;2;4;1;2;3;04/02/2026
1018;2;4;3;3;2;04/02/2026
1019;2;4;1;2;1;04/02/2026
1022;1;4;3;3;4;04/02/2026
1024;2;4;3;3;2;04/02/2026
1025;2;3;3;3;2;04/02/2026
1026;2;4;3;3;3;04/02/2026
1027;1;3;3;3;2;04/02/2026
1028;2;3;3;2;1;04/02/2026
1029;2;3;3;4;2;04/02/2026
1030;1;3;3;3;2;04/02/2026
1032;2;4;3;3;1;04/02/2026
1034;2;3;2;3;4;04/02/2026
1035;2;4;3;3;2;04/02/2026
1036;2;3;3;3;3;04/02/2026
1039;2;4;3;3;3;04/02/2026
1040;2;3;3;3;1;04/02/2026
1043;2;3;1;3;3;04/02/2026
1044;2;4;3;2;4;04/02/2026
1045;2;3;3;4;2;04/02/2026
1046;2;3;3;3;2;04/02/2026
1047;2;4;3;2;4;04/02/2026
1048;2;3;3;1;3;04/02/2026
1049;2;3;2;3;1;04/02/2026
1050;2;4;2;3;1;04/02/2026
1055;2;3;3;3;4;04/02/2026
1056;2;3;2;3;2;04/02/2026
1060;2;3;3;3;1;04/02/2026
1061;2;3;3;2;4;04/02/2026
1062;2;3;2;2;1;04/02/2026
1066;2;3;1;2;2;04/02/2026
1068;1;4;3;3;3;04/02/2026
1069;2;3;3;3;4;04/02/2026
1070;2;4;3;3;2;04/02/2026
1071;1;3;3;3;2;04/02/2026
1073;2;4;3;2;2;04/02/2026
1074;2;4;1;4;2;04/02/2026
1076;2;4;3;3;3;04/02/2026
1080;2;4;1;3;1;04/02/2026
1083;1;4;1;3;1;04/02/2026
1084;2;3;1;2;3;04/02/2026
1085;2;4;3;3;3;04/02/2026
1088;2;4;3;2;1;04/02/2026
1092;1;3;3;3;4;04/02/2026
1094;1;4;3;3;4;04/02/2026
1096;2;3;2;3;2;04/02/2026
1097;2;3;3;4;4;04/02/2026
1099;2;4;3;3;3;04/02/2026
1102;1;3;3;2;4;04/02/2026
1103;1;3;3;2;3;04/02/2026
1105;2;4;3;3;3;04/02/2026
1109;2;3;1;3;4;04/02/2026
1114;2;3;2;3;3;04/02/2026
1115;2;4;3;3;4;04/02/2026
1116;1;4;3;2;3;04/02/2026
1117;2;4;3;3;4;04/02/2026
1118;2;3;2;3;4;04/02/2026
1119;2;4;3;3;2;04/02/2026
1120;2;3;3;3;1;04/02/2026
1121;2;3;2;2;2;04/02/2026
1124;1;3;3;3;4;04/02/2026
1125;2;3;2;3;3;04/02/2026
1126;2;3;1;3;3;04/02/2026
1128;2;4;3;4;1;04/02/2026
1131;2;4;2;4;3;04/02/2026
1132;2;3;2;2;3;04/02/2026
1133;1;3;3;3;1;04/02/2026
1135;2;4;3;3;1;04/02/2026
1136;1;4;2;1;1;04/02/2026
1137;2;3;3;3;4;04/02/2026
1138;2;4;2;3;2;04/02/2026
1140;2;3;3;2;4;04/02/2026
1143;2;3;2;2;4;04/02/2026
1148;2;4;3;3;1;04/02/2026
1150;2;4;3;2;3;04/02/2026
1152;2;4;3;4;4;04/02/2026
1154;2;4;3;3;4;04/02/2026
1158;2;3;3;3;1;04/02/2026
1161;2;4;3;3;3;04/02/2026
1162;2;4;3;3;3;04/02/2026
1163;2;3;3;2;1;04/02/2026
1164;2;3;3;1;2;04/02/2026
1166;2;3;3;2;3;04/02/2026
1171;2;3;1;4;4;04/02/2026
1172;2;4;3;3;2;04/02/2026
1173;2;3;2;3;4;04/02/2026
1177;1;4;3;3;2;04/02/2026
1179;2;4;3;3;1;04/02/2026
1180;2;4;3;1;4;04/02/2026
1182;2;4;2;4;2;04/02/2026
1184;2;4;1;3;3;04/02/2026
1185;2;4;3;4;2;04/02/2026
1190;2;3;1;3;3;04/02/2026
1191;2;3;1;3;4;04/02/2026
1192;2;3;3;3;1;04/02/2026
1193;2;3;1;3;3;04/02/2026
1195;1;3;3;2;3;04/02/2026
1196;2;4;3;2;2;04/02/2026
1198;1;4;3;2;1;04/02/2026
1201;2;3;3;3;2;04/02/2026
1202;2;4;3;2;1;04/02/2026
1204;2;3;1;3;1;04/02/2026
1206;2;4;3;3;4;04/02/2026
1207;2;3;3;3;4;04/02/2026
1211;2;3;1;3;3;04/02/2026
1212;2;3;2;3;4;04/02/2026
1215;2;3;1;3;3;04/02/2026
1216;2;4;1;3;3;04/02/2026
1217;2;3;2;3;1;04/02/2026
1218;2;3;1;3;4;04/02/2026
